Numer,Słowo (Angielski),Wymowa (IPA),Tłumaczenie (Polski)
528,believe,/bɪˈliːv/,wierzyć
529,fraction,/ˈfrækʃən/,ułamek
530,forest,/ˈfɒrɪst/,las
531,sit,/sɪt/,siedzieć
532,race,/reɪs/,wyścig/rasa
533,window,/ˈwɪndəʊ/,okno
534,store,/stɔːr/,sklep/przechowywać
535,summer,/ˈsʌmər/,lato
536,train,/treɪn/,pociąg/trenować
537,sleep,/sliːp/,spać
538,prove,/pruːv/,udowodnić
539,lone,/ləʊn/,samotny
540,leg,/leɡ/,noga
541,exercise,/ˈeksərsaɪz/,ćwiczenie
542,wall,/wɔːl/,ściana/mur
543,catch,/kætʃ/,łapać
544,mount,/maʊnt/,góra/montować
545,wish,/wɪʃ/,życzenie/życzyć
546,sky,/skaɪ/,niebo
547,board,/bɔːrd/,deska/tablica
548,joy,/dʒɔɪ/,radość
549,winter,/ˈwɪntər/,zima
550,sat,/sæt/,siedział
551,written,/ˈrɪtn/,napisany
552,wild,/waɪld/,dziki
553,instrument,/ˈɪnstrəmənt/,instrument
554,kept,/kept/,trzymał
555,glass,/ɡlɑːs/,szkło/szklanka
556,grass,/ɡrɑːs/,trawa
557,cow,/kaʊ/,krowa
558,job,/dʒɒb/,praca/zawód
559,edge,/edʒ/,krawędź
560,sign,/saɪn/,znak/podpisać
561,visit,/ˈvɪzɪt/,odwiedzać/wizyta
562,past,/pɑːst/,przeszłość/obok
563,soft,/sɒft/,miękki
564,fun,/fʌn/,zabawa/zabawny
565,bright,/braɪt/,jasny
566,gas,/ɡæs/,gaz/benzyna
567,weather,/ˈweðər/,pogoda
568,month,/mʌnθ/,miesiąc
569,million,/ˈmɪliən/,milion
570,bear,/ber/,niedźwiedź/znosić
571,finish,/ˈfɪnɪʃ/,kończyć/koniec
572,happy,/ˈhæpi/,szczęśliwy
573,hope,/həʊp/,nadzieja/mieć nadzieję
574,flower,/ˈflaʊər/,kwiat
575,clothe,/kləʊð/,ubierać
576,strange,/streɪndʒ/,dziwny/obcy
577,gone,/ɡɒn/,zniknął/poszedł
578,jump,/dʒʌmp/,skakać
579,baby,/ˈbeɪbi/,dziecko/niemowlę
580,eight,/eɪt/,osiem
581,village,/ˈvɪlɪdʒ/,wieś
582,meet,/miːt/,spotykać
583,root,/ruːt/,korzeń
584,buy,/baɪ/,kupować
585,raise,/reɪz/,podnosić/wychowywać
586,solve,/sɒlv/,rozwiązać
587,metal,/ˈmetl/,metal
588,whether,/ˈweðər/,czy
589,push,/pʊʃ/,pchać
590,seven,/ˈsevn/,siedem
591,paragraph,/ˈpærəɡrɑːf/,akapit
592,third,/θɜːrd/,trzeci
593,shall,/ʃæl/,czasownik modalny
594,held,/held/,trzymał
595,hair,/her/,włosy
596,describe,/dɪˈskraɪb/,opisywać
597,cook,/kʊk/,kucharz/gotować
598,floor,/flɔːr/,podłoga/piętro
599,either,/ˈaɪðər/,albo
600,result,/rɪˈzʌlt/,wynik/rezultat
601,burn,/bɜːrn/,palić się/oparzenie
602,hill,/hɪl/,wzgórze
603,safe,/seɪf/,bezpieczny
604,cat,/kæt/,kot
605,century,/ˈsentʃəri/,wiek/stulecie
606,consider,/kənˈsɪdər/,rozważać
607,type,/taɪp/,typ/pisać na klawiaturze
608,law,/lɔː/,prawo
609,bit,/bɪt/,kawałek/trochę
610,coast,/kəʊst/,wybrzeże
611,copy,/ˈkɒpi/,kopia/kopiować
612,phrase,/freɪz/,fraza/zwrot
613,silent,/ˈsaɪlənt/,cichy
614,tall,/tɔːl/,wysoki
615,sand,/sænd/,piasek
616,soil,/sɔɪl/,gleba/ziemia
617,roll,/rəʊl/,toczyć się/bułka
618,temperature,/ˈtemprətʃər/,temperatura
619,finger,/ˈfɪŋɡər/,palec
620,industry,/ˈɪndəstri/,przemysł
621,value,/ˈvæljuː/,wartość
622,fight,/faɪt/,walka/walczyć
623,lie,/laɪ/,kłamać/leżeć
624,beat,/biːt/,bić/rytm
625,excite,/ɪkˈsaɪt/,ekscytować
626,natural,/ˈnætʃərəl/,naturalny
627,view,/vjuː/,widok/pogląd
628,sense,/sens/,zmysł/sens
629,ear,/ɪər/,ucho
630,else,/els/,inny/inaczej
631,quite,/kwaɪt/,całkiem/dość
632,broke,/brəʊk/,zepsuł
633,case,/keɪs/,przypadek/sprawa
634,middle,/ˈmɪdl/,środek
635,kill,/kɪl/,zabijać
636,son,/sʌn/,syn
637,lake,/leɪk/,jezioro
638,moment,/ˈməʊmənt/,moment/chwila
639,scale,/skeɪl/,skala/waga
640,loud,/laʊd/,głośny
641,spring,/sprɪŋ/,wiosna/sprężyna
642,observe,/əbˈzɜːrv/,obserwować
643,child,/tʃaɪld/,dziecko
644,straight,/streɪt/,prosty
645,consonant,/ˈkɒnsənənt/,spółgłoska
646,nation,/ˈneɪʃn/,naród
647,dictionary,/ˈdɪkʃəneri/,słownik
648,milk,/mɪlk/,mleko
649,speed,/spiːd/,prędkość
650,method,/ˈmeθəd/,metoda
651,organ,/ˈɔːrɡən/,organ/narząd
652,pay,/peɪ/,płacić
653,age,/eɪdʒ/,wiek
654,section,/ˈsekʃn/,sekcja/dział
655,dress,/dres/,sukienka/ubierać się
656,cloud,/klaʊd/,chmura
657,surprise,/sərˈpraɪz/,niespodzianka/zaskoczyć
658,quiet,/ˈkwaɪət/,cichy
659,stone,/stəʊn/,kamień
660,tiny,/ˈtaɪni/,malutki
661,climb,/klaɪm/,wspinać się
662,cool,/kuːl/,chłodny/fajny
663,design,/dɪˈzaɪn/,projekt/projektować
664,poor,/pʊər/,biedny
665,lot,/lɒt/,dużo
666,experiment,/ɪkˈsperɪmənt/,eksperyment
667,bottom,/ˈbɒtəm/,dno/spód
668,key,/kiː/,klucz
669,iron,/ˈaɪərn/,żelazo/żelazko
670,single,/ˈsɪŋɡl/,pojedynczy
671,stick,/stɪk/,kij/przyklejać
672,flat,/flæt/,płaski/mieszkanie
673,twenty,/ˈtwenti/,dwadzieścia
674,skin,/skɪn/,skóra
675,smile,/smaɪl/,uśmiech/uśmiechać się
676,crease,/kriːs/,zagniecenie/fałda
677,hole,/həʊl/,dziura
678,trade,/treɪd/,handel/handlować
679,melody,/ˈmelədi/,melodia
680,trip,/trɪp/,wycieczka/potknąć się
681,office,/ˈɒfɪs/,biuro
682,receive,/rɪˈsiːv/,otrzymać
683,row,/rəʊ/,rząd/wiosłować
684,mouth,/maʊθ/,usta
685,exact,/ɪɡˈzækt/,dokładny
686,symbol,/ˈsɪmbl/,symbol
687,die,/daɪ/,umierać
688,least,/liːst/,najmniej
689,trouble,/ˈtrʌbl/,kłopot/problem
690,shout,/ʃaʊt/,krzyczeć
691,except,/ɪkˈsept/,oprócz/z wyjątkiem
692,wrote,/rəʊt/,napisał
693,seed,/siːd/,nasiono
694,tone,/təʊn/,ton/odcień
695,join,/dʒɔɪn/,dołączyć
696,suggest,/səˈdʒest/,sugerować
697,clean,/kliːn/,czysty/sprzątać
698,break,/breɪk/,przerwa/łamać
699,lady,/ˈleɪdi/,dama/pani
700,yard,/jɑːrd/,podwórko/jard
701,rise,/raɪz/,wschodzić/podnosić się
702,bad,/bæd/,zły
703,blow,/bləʊ/,wiać/dmuchać
704,oil,/ɔɪl/,olej/ropa naftowa
705,blood,/blʌd/,krew
706,touch,/tʌtʃ/,dotykać/dotyk
707,grew,/ɡruː/,rósł
708,cent,/sent/,cent
709,mix,/mɪks/,mieszać
710,team,/tiːm/,drużyna/zespół
711,wire,/ˈwaɪər/,drut/przewód
712,cost,/kɒst/,koszt/kosztować
713,lost,/lɒst/,zgubiony/przegrał
714,brown,/braʊn/,brązowy
715,wear,/wer/,nosić (ubranie)
716,garden,/ˈɡɑːrdn/,ogród
717,equal,/ˈiːkwəl/,równy
718,sent,/sent/,wysłany
719,choose,/tʃuːz/,wybierać
720,fell,/fel/,upadł
721,fit,/fɪt/,pasować/w dobrej formie
722,flow,/fləʊ/,płynąć/przepływ
723,fair,/fer/,sprawiedliwy/targi
724,bank,/bæŋk/,bank/brzeg
725,collect,/kəˈlekt/,zbierać/kolekcjonować
726,save,/seɪv/,ratować/oszczędzać
727,control,/kənˈtrəʊl/,kontrola/kontrolować
728,decimal,/ˈdesɪməl/,dziesiętny/ułamek
729,gentle,/ˈdʒentl/,łagodny/delikatny
730,woman,/ˈwʊmən/,kobieta
731,captain,/ˈkæptɪn/,kapitan
732,practice,/ˈpræktɪs/,praktyka/ćwiczyć
733,separate,/ˈseprət/,oddzielny (przym.)
734,difficult,/ˈdɪfɪkəlt/,trudny
735,doctor,/ˈdɒktər/,lekarz
736,please,/pliːz/,proszę/zadowalać
737,protect,/prəˈtekt/,chronić
738,noon,/nuːn/,południe (pora dnia)
739,whose,/huːz/,czyj
740,locate,/ləʊˈkeɪt/,zlokalizować
741,ring,/rɪŋ/,pierścionek/dzwonić
742,character,/ˈkærəktər/,postać/charakter
743,insect,/ˈɪnsekt/,owad
744,caught,/kɔːt/,złapany
745,period,/ˈpɪəriəd/,okres/kropka
746,indicate,/ˈɪndɪkeɪt/,wskazywać
747,radio,/ˈreɪdiəʊ/,radio
748,spoke,/spəʊk/,mówił/szprycha
749,atom,/ˈætəm/,atom
750,human,/ˈhjuːmən/,ludzki/człowiek
751,history,/ˈhɪstəri/,historia
752,effect,/ɪˈfekt/,efekt/skutek
753,electric,/ɪˈlektrɪk/,elektryczny
754,expect,/ɪkˈspekt/,oczekiwać
755,crop,/krɒp/,uprawa/plon
756,modern,/ˈmɒdərn/,nowoczesny
757,element,/ˈelɪmənt/,element/pierwiastek
758,hit,/hɪt/,uderzyć/hit
759,student,/ˈstjuːdənt/,student/uczeń
760,corner,/ˈkɔːrnər/,róg/narożnik
761,party,/ˈpɑːrti/,impreza/partia
762,supply,/səˈplaɪ/,zaopatrzenie/dostarczać
763,bone,/bəʊn/,kość
764,rail,/reɪl/,szyna/poręcz
765,imagine,/ɪˈmædʒɪn/,wyobrażać sobie
766,provide,/prəˈvaɪd/,dostarczać/zapewniać
767,agree,/əˈɡriː/,zgadzać się
768,thus,/ðʌs/,a zatem/tak więc
769,capital,/ˈkæpɪtl/,stolica/kapitał
770,won't,/wəʊnt/,nie będzie (skrót od 'will not')
771,chair,/tʃer/,krzesło
772,danger,/ˈdeɪndʒər/,niebezpieczeństwo
773,fruit,/fruːt/,owoc
774,rich,/rɪtʃ/,bogaty
775,thick,/θɪk/,gruby/gęsty
776,soldier,/ˈsəʊldʒər/,żołnierz
777,process,/ˈprəʊses/,proces/przetwarzać
778,operate,/ˈɒpəreɪt/,operować/działać
779,guess,/ɡes/,zgadywać
780,necessary,/ˈnesəseri/,konieczny/niezbędny
781,sharp,/ʃɑːrp/,ostry
782,wing,/wɪŋ/,skrzydło
783,create,/kriˈeɪt/,tworzyć
784,neighbor,/ˈneɪbər/,sąsiad
785,wash,/wɒʃ/,myć/prać
786,bat,/bæt/,nietoperz/kij
787,rather,/ˈrɑːðər/,raczej/dość
788,crowd,/kraʊd/,tłum
789,corn,/kɔːrn/,kukurydza
790,compare,/kəmˈper/,porównywać
791,poem,/ˈpəʊɪm/,wiersz/poemat
792,string,/strɪŋ/,sznurek/struna
793,bell,/bel/,dzwon/dzwonek
794,depend,/dɪˈpend/,zależeć
795,meat,/miːt/,mięso
796,rub,/rʌb/,trzeć/pocierać
797,tube,/tjuːb/,rura/tuba
798,famous,/ˈfeɪməs/,sławny
799,dollar,/ˈdɒlər/,dolar
800,stream,/striːm/,strumień/potok
801,fear,/fɪər/,strach/obawa
802,sight,/saɪt/,wzrok/widok
803,thin,/θɪn/,chudy/cienki
804,triangle,/ˈtraɪæŋɡl/,trójkąt
805,planet,/ˈplænɪt/,planeta
806,hurry,/ˈhʌri/,spieszyć się
807,chief,/tʃiːf/,szef/wódz
808,colony,/ˈkɒləni/,kolonia
809,clock,/klɒk/,zegar
810,mine,/maɪn/,mój/kopalnia
811,tie,/taɪ/,krawat/wiązać
812,enter,/ˈentər/,wchodzić/wprowadzać
813,major,/ˈmeɪdʒər/,główny/ważny
814,fresh,/freʃ/,świeży
815,search,/sɜːrtʃ/,szukać/poszukiwanie
816,send,/send/,wysyłać
817,yellow,/ˈjeləʊ/,żółty
818,gun,/ɡʌn/,pistolet/broń palna
819,allow,/əˈlaʊ/,pozwalać
820,print,/prɪnt/,drukować
821,dead,/ded/,martwy
822,spot,/spɒt/,miejsce/plama
823,desert,/ˈdezərt/,pustynia (rzecz.)
824,suit,/suːt/,garnitur/pasować
825,current,/ˈkʌrənt/,obecny/prąd
826,lift,/lɪft/,podnosić/winda
827,rose,/rəʊz/,róża/wzrósł
828,continue,/kənˈtɪnjuː/,kontynuować
829,block,/blɒk/,blok/klocek
830,chart,/tʃɑːrt/,wykres/mapa
831,hat,/hæt/,kapelusz
832,sell,/sel/,sprzedawać
833,success,/səkˈses/,sukces
834,company,/ˈkʌmpəni/,firma/towarzystwo
835,subtract,/səbˈtrækt/,odejmować
836,event,/ɪˈvent/,wydarzenie
837,particular,/pərˈtɪkjələr/,szczególny/konkretny
838,deal,/diːl/,umowa/interes
839,swim,/swɪm/,pływać
840,term,/tɜːrm/,termin/pojęcie
841,opposite,/ˈɒpəzɪt/,przeciwny/naprzeciwko
842,wife,/waɪf/,żona
843,shoe,/ʃuː/,but
844,shoulder,/ˈʃəʊldər/,ramię/bark
845,spread,/spred/,rozprzestrzeniać/smarować
846,arrange,/əˈreɪndʒ/,aranżować/układać
847,camp,/kæmp/,obóz
848,invent,/ɪnˈvent/,wynaleźć
849,cotton,/ˈkɒtn/,bawełna
850,born,/bɔːrn/,urodzony
851,determine,/dɪˈtɜːrmɪn/,określać/decydować
852,quart,/kwɔːrt/,kwarta
853,nine,/naɪn/,dziewięć
854,truck,/trʌk/,ciężarówka
855,noise,/nɔɪz/,hałas
856,level,/ˈlevl/,poziom
857,chance,/tʃɑːns/,szansa
858,gather,/ˈɡæðər/,zbierać/gromadzić
859,shop,/ʃɒp/,sklep/robić zakupy
860,stretch,/stretʃ/,rozciągać
861,throw,/θrəʊ/,rzucać
862,shine,/ʃaɪn/,świecić/blask
863,property,/ˈprɒpərti/,własność/nieruchomość
864,column,/ˈkɒləm/,kolumna
865,molecule,/ˈmɒlɪkjuːl/,cząsteczka/molekuła
866,select,/sɪˈlekt/,wybierać
867,wrong,/rɒŋ/,zły/błędny
868,gray,/ɡreɪ/,szary
869,repeat,/rɪˈpiːt/,powtarzać
870,require,/rɪˈkwaɪər/,wymagać
871,broad,/brɔːd/,szeroki
872,prepare,/prɪˈper/,przygotowywać
873,salt,/sɔːlt/,sól
874,nose,/nəʊz/,nos
875,plural,/ˈplʊərəl/,liczba mnoga
876,anger,/ˈæŋɡər/,gniew/złość
877,claim,/kleɪm/,roszczenie/twierdzić
878,continent,/ˈkɒntɪnənt/,kontynent
879,oxygen,/ˈɒksɪdʒən/,tlen
880,sugar,/ˈʃʊɡər/,cukier
881,death,/deθ/,śmierć
882,pretty,/ˈprɪti/,ładny/całkiem
883,skill,/skɪl/,umiejętność
884,women,/ˈwɪmɪn/,kobiety
885,season,/ˈsiːzn/,pora roku/sezon
886,solution,/səˈluːʃn/,rozwiązanie
887,magnet,/ˈmæɡnɪt/,magnes
888,silver,/ˈsɪlvər/,srebro/srebrny
889,thank,/θæŋk/,dziękować
890,branch,/brɑːntʃ/,gałąź/oddział
891,match,/mætʃ/,mecz/zapałka/pasować
892,suffix,/ˈsʌfɪks/,przyrostek/końcówka
893,especially,/ɪˈspeʃəli/,szczególnie
894,fig,/fɪɡ/,figa
895,afraid,/əˈfreɪd/,przestraszony/obawiać się
896,huge,/hjuːdʒ/,ogromny
897,sister,/ˈsɪstər/,siostra
898,steel,/stiːl/,stal
899,discuss,/dɪˈskʌs/,dyskutować
900,forward,/ˈfɔːrwərd/,do przodu
901,similar,/ˈsɪmələr/,podobny
902,guide,/ɡaɪd/,przewodnik/prowadzić
903,experience,/ɪkˈspɪəriəns/,doświadczenie
904,score,/skɔːr/,wynik/zdobyć punkt
905,apple,/ˈæpl/,jabłko
906,bought,/bɔːt/,kupił
907,led,/led/,prowadził
908,pitch,/pɪtʃ/,boisko/ton/rzut
909,coat,/kəʊt/,płaszcz/powłoka
910,mass,/mæs/,masa
911,card,/kɑːrd/,karta
912,band,/bænd/,zespół/opaska
913,rope,/rəʊp/,lina
914,slip,/slɪp/,poślizgnąć się
915,win,/wɪn/,wygrywać
916,dream,/driːm/,marzenie/sen/śnić
917,evening,/ˈiːvnɪŋ/,wieczór
918,condition,/kənˈdɪʃn/,warunek/stan
919,feed,/fiːd/,karmić
920,tool,/tuːl/,narzędzie
921,total,/ˈtəʊtl/,całkowity/suma
922,basic,/ˈbeɪsɪk/,podstawowy
923,smell,/smel/,zapach/wąchać
924,valley,/ˈvæli/,dolina
925,nor,/nɔːr/,ani
926,double,/ˈdʌbl/,podwójny
927,seat,/siːt/,siedzenie/miejsce
928,arrive,/əˈraɪv/,przybyć/przyjechać
929,master,/ˈmɑːstər/,mistrz/pan
930,track,/træk/,tor/ścieżka/śledzić
931,parent,/ˈperənt/,rodzic
932,shore,/ʃɔːr/,brzeg
933,division,/dɪˈvɪʒn/,podział/dywizja
934,sheet,/ʃiːt/,prześcieradło/arkusz
935,substance,/ˈsʌbstəns/,substancja
936,favor,/ˈfeɪvər/,przysługa
937,connect,/kəˈnekt/,łączyć
938,post,/pəʊst/,poczta/stanowisko
939,spend,/spend/,spędzać/wydawać
940,chord,/kɔːrd/,akord/cięciwa
941,fat,/fæt/,gruby/tłuszcz
942,glad,/ɡlæd/,zadowolony
943,original,/əˈrɪdʒɪnl/,oryginalny
944,share,/ʃer/,dzielić/udział
945,station,/ˈsteɪʃn/,stacja/dworzec
946,dad,/dæd/,tata
947,bread,/bred/,chleb
948,charge,/tʃɑːrdʒ/,opłata/ładować/oskarżać
949,proper,/ˈprɒpər/,właściwy/odpowiedni
950,bar,/bɑːr/,bar/baton/pręt
951,offer,/ˈɒfər/,oferta/oferować
952,segment,/ˈseɡmənt/,segment
953,slave,/sleɪv/,niewolnik
954,duck,/dʌk/,kaczka
955,instant,/ˈɪnstənt/,natychmiastowy/chwila
956,market,/ˈmɑːrkɪt/,rynek/targ
957,degree,/dɪˈɡriː/,stopień
958,populate,/ˈpɒpjuleɪt/,zaludniać
959,chick,/tʃɪk/,pisklę
960,dear,/dɪər/,drogi/kochany
961,enemy,/ˈenəmi/,wróg
962,reply,/rɪˈplaɪ/,odpowiedź/odpowiadać
963,drink,/drɪŋk/,pić/napój
964,occur,/əˈkɜːr/,wystąpić/zdarzyć się
965,support,/səˈpɔːrt/,wsparcie/wspierać
966,speech,/spiːtʃ/,mowa/przemówienie
967,nature,/ˈneɪtʃər/,natura/przyroda
968,range,/reɪndʒ/,zasięg/zakres
969,steam,/stiːm/,para (wodna)
970,motion,/ˈməʊʃn/,ruch
971,path,/pɑːθ/,ścieżka
972,liquid,/ˈlɪkwɪd/,ciecz/płyn
973,log,/lɒɡ/,kłoda/dziennik/logować
974,meant,/ment/,znaczył/miał na myśli
975,quotient,/ˈkwəʊʃnt/,iloraz
976,teeth,/tiːθ/,zęby
977,shell,/ʃel/,muszla/skorupa
978,neck,/nek/,szyja
979,business,/ˈbɪznɪs/,biznes/interes
980,government,/ˈɡʌvərmənt/,rząd
981,information,/ˌɪnfərˈmeɪʃn/,informacja
982,health,/helθ/,zdrowie
983,computer,/kəmˈpjuːtər/,komputer
984,president,/ˈprezɪdənt/,prezydent
985,member,/ˈmembər/,członek
986,future,/ˈfjuːtʃər/,przyszłość
987,important,/ɪmˈpɔːrtnt/,ważny
988,different,/ˈdɪfrənt/,inny/różny
989,knowledge,/ˈnɒlɪdʒ/,wiedza
990,beautiful,/ˈbjuːtɪfl/,piękny
991,husband,/ˈhʌzbənd/,mąż
992,daughter,/ˈdɔːtər/,córka
993,uncle,/ˈʌŋkl/,wujek
994,aunt,/ɑːnt/,ciocia
995,cousin,/ˈkʌzn/,kuzyn/kuzynka
996,breakfast,/ˈbrekfəst/,śniadanie
997,lunch,/lʌntʃ/,lunch/obiad
998,dinner,/ˈdɪnər/,obiad/kolacja
999,kitchen,/ˈkɪtʃɪn/,kuchnia
1000,bedroom,/ˈbedruːm/,sypialnia