Indeks,Słowo (Polski),Tłumaczenie (Angielski),Wymowa US,Wymowa UK
209,Rozkładać,Unfold,/ʌnˈfoʊld/,/ʌnˈfəʊld/
210,Przewidywać,Predict,/prɪˈdɪkt/,/prɪˈdɪkt/
211,Szacować,Estimate,/ˈes.tə.meɪt/,/ˈes.tɪ.meɪt/
212,Interpretować,Interpret,/ɪnˈtɝː.prɪt/,/ɪnˈtɜː.prɪt/
213,Tłumaczyć,Translate,/trænsˈleɪt/,/trænsˈleɪt/
214,Szeptać,Whisper,/ˈwɪs.pɚ/,/ˈwɪs.pə/
215,Wrzeszczeć,Scream,/skriːm/,/skriːm/
216,Gawędzić,Chat,/tʃæt/,/tʃæt/
217,Plotkować,Gossip,/ˈɡɑː.səp/,/ˈɡɒs.ɪp/
218,Przekonywać,Persuade,/pɚˈsweɪd/,/pəˈsweɪd/
219,Motywować,Motivate,/ˈmoʊ.t̬ə.veɪt/,/ˈməʊ.tɪ.veɪt/
220,Inspirować,Inspire,/ɪnˈspaɪr/,/ɪnˈspaɪə/
221,Wpływać,Influence,/ˈɪn.flu.əns/,/ˈɪn.flu.əns/
222,Przyznawać się,Admit,/ədˈmɪt/,/ədˈmɪt/
223,Oskarżać,Accuse,/əˈkjuːz/,/əˈkjuːz/
224,Uciekać,Escape,/ɪˈskeɪp/,/ɪˈskeɪp/
225,Gonić,Chase,/tʃeɪs/,/tʃeɪs/
226,Śledzić,Track,/træk/,/træk/
227,Nawigować,Navigate,/ˈnæv.ə.ɡeɪt/,/ˈnæv.ɪ.ɡeɪt/
228,Sterować,Steer,/stɪr/,/stɪə/
229,Przyspieszać,Accelerate,/əkˈsel.ə.reɪt/,/əkˈsel.ə.reɪt/
230,Hamować,Brake,/breɪk/,/breɪk/
231,Cofać,Reverse,/rɪˈvɝːs/,/rɪˈvɜːs/
232,Skręcać,Turn,/tɝːn/,/tɜːn/
233,Sygnalizować,Signal,/ˈsɪɡ.nəl/,/ˈsɪɡ.nəl/
234,Obserwować,Observe,/əbˈzɝːv/,/əbˈzɜːv/
235,Monitorować,Monitor,/ˈmɑː.nə.t̬ɚ/,/ˈmɒn.ɪ.tə/
236,Badać (naukowo),Research,/ˈriː.sɝːtʃ/,/rɪˈsɜːtʃ/
237,Eksperymentować,Experiment,/ɪkˈsper.ə.ment/,/ɪkˈsper.ɪ.ment/
238,Wynajdować,Invent,/ɪnˈvent/,/ɪnˈvent/
239,Wprowadzać innowacje,Innovate,/ˈɪn.ə.veɪt/,/ˈɪn.ə.veɪt/
240,Dostosowywać,Adjust,/əˈdʒʌst/,/əˈdʒʌst/
241,Programować,Program,/ˈproʊ.ɡræm/,/ˈprəʊ.ɡræm/
242,Kodować,Code,/koʊd/,/kəʊd/
243,Publikować,Publish,/ˈpʌb.lɪʃ/,/ˈpʌb.lɪʃ/
244,Promować,Promote,/prəˈmoʊt/,/prəˈməʊt/
245,Reklamować,Advertise,/ˈæd.vɚ.taɪz/,/ˈæd.və.taɪz/
246,Prowadzić marketing,Market,/ˈmɑːr.kɪt/,/ˈmɑː.kɪt/
247,Budować sieć kontaktów,Network,/ˈnet.wɝːk/,/ˈnet.wɜːk/
248,Konsultować,Consult,/kənˈsʌlt/,/kənˈsʌlt/
249,Szkolić,Train,/treɪn/,/treɪn/
250,Prowadzić coaching,Coach,/koʊtʃ/,/kəʊtʃ/
251,Być mentorem,Mentor,/ˈmen.tɔːr/,/ˈmen.tɔː/
252,Rezygnować,Quit,/kwɪt/,/kwɪt/
253,Przechodzić na emeryturę,Retire,/rɪˈtaɪr/,/rɪˈtaɪə/
254,Podróżować z plecakiem,Backpack,/ˈbæk.pæk/,/ˈbæk.pæk/
255,Obserwować ptaki,Birdwatch,/ˈbɝːd.wɑːtʃ/,/ˈbɜːd.wɒtʃ/
256,Dyrygować,Conduct,/kənˈdʌkt/,/kənˈdʌkt/
257,Improwizować,Improvise,/ˈɪm.prə.vaɪz/,/ˈɪm.prə.vaɪz/
258,Zabraniać,Forbid,/fɚˈbɪd/,/fəˈbɪd/
259,Niszczyć,Destroy,/dɪˈstrɔɪ/,/dɪˈstrɔɪ/
260,Wątpić,Doubt,/daʊt/,/daʊt/
261,Zaprzeczać,Deny,/dɪˈnaɪ/,/dɪˈnaɪ/
262,Medytować,Meditate,/ˈmed.ə.teɪt/,/ˈmed.ɪ.teɪt/
263,Kleić,Glue,/ɡluː/,/ɡluː/
264,Kurczyć się,Shrink,/ʃrɪŋk/,/ʃrɪŋk/
265,Rozszerzać,Expand,/ɪkˈspænd/,/ɪkˈspænd/
266,Instalować,Install,/ɪnˈstɔːl/,/ɪnˈstɔːl/
267,Zachęcać,Encourage,/ɪnˈkɝː.ɪdʒ/,/ɪnˈkʌr.ɪdʒ/
268,Doradzać,Advise,/ədˈvaɪz/,/ədˈvaɪz/
269,Zniechęcać,Discourage,/dɪˈskɝː.ɪdʒ/,/dɪˈskʌr.ɪdʒ/
270,Być wolontariuszem,Volunteer,/ˌvɑː.lənˈtɪr/,/ˌvɒl.ənˈtɪə/
271,Poddawać się,Surrender,/səˈren.dɚ/,/səˈren.də/
272,Rządzić,Govern,/ˈɡʌv.ɚn/,/ˈɡʌv.ən/
273,Maszerować,March,/mɑːrtʃ/,/mɑːtʃ/
274,Kontrastować,Contrast,/ˈkɑːn.træst/,/kənˈtrɑːst/
275,Podsumowywać,Summarize,/ˈsʌm.ə.raɪz/,/ˈsʌm.ə.raɪz/
276,Cytować,Quote,/kwoʊt/,/kwəʊt/
277,Recytować,Recite,/rɪˈsaɪt/,/rɪˈsaɪt/
278,Mamrotać,Mumble,/ˈmʌm.bəl/,/ˈmʌm.bəl/
279,Wyznawać,Confess,/kənˈfes/,/kənˈfes/
280,Adaptować się,Adapt,/əˈdæpt/,/əˈdæpt/
281,Modyfikować,Modify,/ˈmɑː.də.faɪ/,/ˈmɒd.ɪ.faɪ/
282,Personalizować,Customize,/ˈkʌs.tə.maɪz/,/ˈkʌs.tə.maɪz/
283,Debugować,Debug,/diːˈbʌɡ/,/diːˈbʌɡ/
284,Testować oprogramowanie,Test software,/test ˈsɔːft.wer/,/test ˈsɒft.weə/
285,Hakować,Hack,/hæk/,/hæk/
286,Szyfrować,Encrypt,/ɪnˈkrɪpt/,/ɪnˈkrɪpt/
287,Deszyfrować,Decrypt,/diːˈkrɪpt/,/diːˈkrɪpt/
288,Kompresować,Compress,/kəmˈpres/,/kəmˈpres/
289,Dekompresować,Decompress,/ˌdiː.kəmˈpres/,/ˌdiː.kəmˈpres/
290,Archiwizować,Archive,/ˈɑːr.kaɪv/,/ˈɑː.kaɪv/
291,Rozpakowywać (plik),Unzip,/ʌnˈzɪp/,/ʌnˈzɪp/
292,Formatować,Format,/ˈfɔːr.mæt/,/ˈfɔː.mæt/
293,Robić korektę,Proofread,/ˈpruːf.riːd/,/ˈpruːf.riːd/
294,Budować markę,Brand,/brænd/,/brænd/
295,Parafrazować,Paraphrase,/ˈper.ə.freɪz/,/ˈpær.ə.freɪz/
296,Wąchać,Smell,/smel/,/smel/
297,Smakować,Taste,/teɪst/,/teɪst/
298,Produkować,Produce,/prəˈduːs/,/prəˈdjuːs/
299,Adaptować (utwór),Adapt,/əˈdæpt/,/əˈdæpt/
300,Deklamować,Declaim,/dɪˈkleɪm/,/dɪˈkleɪm/
301,Oklaskiwać,Applaud,/əˈplɔːd/,/əˈplɔːd/
302,Gwizdać,Whistle,/ˈwɪs.əl/,/ˈwɪs.əl/
303,Nucić,Hum,/hʌm/,/hʌm/
304,Ziewać,Yawn,/jɔːn/,/jɔːn/
305,Kichać,Sneeze,/sniːz/,/sniːz/
306,Kaszleć,Cough,/kɑːf/,/kɒf/
307,Przełykać,Swallow,/ˈswɑː.loʊ/,/ˈswɒl.əʊ/
308,Gryźć,Bite,/baɪt/,/baɪt/
309,Żuć,Chew,/tʃuː/,/tʃuː/
310,Ssać,Suck,/sʌk/,/sʌk/
311,Lizać,Lick,/lɪk/,/lɪk/
312,Mrugać,Blink,/blɪŋk/,/blɪŋk/
313,Wpatrywać się,Stare,/ster/,/steə/
314,Rzucać okiem,Glance,/ɡlæns/,/ɡlɑːns/
315,Podglądać,Peek,/piːk/,/piːk/
316,Marszczyć brwi,Frown,/fraʊn/,/fraʊn/
317,Kiwać głową,Nod,/nɑːd/,/nɒd/
318,Wzruszać ramionami,Shrug,/ʃrʌɡ/,/ʃrʌɡ/
319,Wskazywać,Point,/pɔɪnt/,/pɔɪnt/
320,Machać,Wave,/weɪv/,/weɪv/
321,Przytulać,Hug,/hʌɡ/,/hʌɡ/
322,Całować,Kiss,/kɪs/,/kɪs/
323,Kłaniać się,Bow,/baʊ/,/baʊ/
324,Klękać,Kneel,/niːl/,/niːl/
325,Czołgać się,Crawl,/krɔːl/,/krɔːl/
326,Leżeć,Lie down,/laɪ daʊn/,/laɪ daʊn/
327,Przechylać się,Lean,/liːn/,/liːn/
328,Ślizgać się,Slide,/slaɪd/,/slaɪd/
329,Poślizgnąć się,Slip,/slɪp/,/slɪp/
330,Potknąć się,Trip,/trɪp/,/trɪp/
331,Upadać,Fall,/fɑːl/,/fɔːl/
332,Uderzać,Hit,/hɪt/,/hɪt/
333,Kopać,Kick,/kɪk/,/kɪk/
334,Drapać,Scratch,/skrætʃ/,/skrætʃ/
335,Łaskotać,Tickle,/ˈtɪk.əl/,/ˈtɪk.əl/
336,Pocierać,Rub,/rʌb/,/rʌb/
337,Wylewać,Spill,/spɪl/,/spɪl/
338,Nalewać,Pour,/pɔːr/,/pɔː/
339,Opróżniać,Empty,/ˈemp.ti/,/ˈemp.ti/
340,Napełniać,Fill,/fɪl/,/fɪl/
341,Pakować (prezent),Wrap,/ræp/,/ræp/
342,Dekorować,Decorate,/ˈdek.ə.reɪt/,/ˈdek.ə.reɪt/
343,Meblować,Furnish,/ˈfɝː.nɪʃ/,/ˈfɜː.nɪʃ/
344,Renowować,Renovate,/ˈren.ə.veɪt/,/ˈren.ə.veɪt/
345,Demolować,Demolish,/dɪˈmɑː.lɪʃ/,/dɪˈmɒl.ɪʃ/
346,Wiercić,Drill,/drɪl/,/drɪl/
347,Młotkować,Hammer,/ˈhæm.ɚ/,/ˈhæm.ə/
348,Piłować,Saw,/sɔː/,/sɔː/
349,Wkręcać,Screw,/skruː/,/skruː/
350,Nitować,Rivet,/ˈrɪv.ɪt/,/ˈrɪv.ɪt/
351,Spawać,Weld,/weld/,/weld/
352,Lutować,Solder,/ˈsɑː.dɚ/,/ˈsɒl.də/
353,Topnieć,Melt,/melt/,/melt/
354,Zamarzać,Freeze,/friːz/,/friːz/
355,Parować,Evaporate,/ɪˈvæp.ə.reɪt/,/ɪˈvæp.ə.reɪt/
356,Skraplać,Condense,/kənˈdens/,/kənˈdens/
357,Rozpuszczać,Dissolve,/dɪˈzɑːlv/,/dɪˈzɒlv/
358,Filtrować,Filter,/ˈfɪl.tɚ/,/ˈfɪl.tə/
359,Przesiewać,Sift,/sɪft/,/sɪft/
360,Ugniatać,Knead,/niːd/,/niːd/
361,Wałkować,Roll,/roʊl/,/rəʊl/
362,Ubijać,Whisk,/wɪsk/,/wɪsk/
363,Trzeć,Grate,/ɡreɪt/,/ɡreɪt/
364,Obierać,Peel,/piːl/,/piːl/
365,Marynować,Marinate,/ˈmer.ə.neɪt/,/ˈmær.ɪ.neɪt/
366,Nadziewać,Stuff,/stʌf/,/stʌf/
367,Dekorować (jedzenie),Garnish,/ˈɡɑːr.nɪʃ/,/ˈɡɑː.nɪʃ/
368,Serwować,Serve,/sɝːv/,/sɜːv/
369,Degustować,Taste,/teɪst/,/teɪst/
370,Przekąsić,Snack,/snæk/,/snæk/
371,Ucztować,Feast,/fiːst/,/fiːst/
372,Głodować,Starve,/stɑːrv/,/stɑːv/
373,Odczuwać pragnienie,Thirst,/θɝːst/,/θɜːst/
374,Nawadniać,Hydrate,/ˈhaɪ.dreɪt/,/haɪˈdreɪt/
375,Odwadniać,Dehydrate,/ˌdiː.haɪˈdreɪt/,/ˌdiː.haɪˈdreɪt/
376,Goić,Heal,/hiːl/,/hiːl/
377,Ranić,Injure,/ˈɪn.dʒɚ/,/ˈɪn.dʒə/
378,Krwawić,Bleed,/bliːd/,/bliːd/
379,Leczyć (medycznie),Treat,/triːt/,/triːt/
380,Diagnozować,Diagnose,/ˌdaɪ.əɡˈnoʊs/,/ˌdaɪ.əɡˈnəʊs/
381,Przepisywać,Prescribe,/prɪˈskraɪb/,/prɪˈskraɪb/
382,Operować,Operate,/ˈɑː.pə.reɪt/,/ˈɒp.ə.reɪt/
383,Szczepić,Vaccinate,/ˈvæk.sə.neɪt/,/ˈvæk.sɪ.neɪt/
384,Rehabilitować,Rehabilitate,/ˌriː.həˈbɪl.ə.teɪt/,/ˌriː.həˈbɪl.ɪ.teɪt/
385,Uzależniać,Addict,/əˈdɪkt/,/əˈdɪkt/
386,Przezwyciężać,Overcome,/ˌoʊ.vɚˈkʌm/,/ˌəʊ.vəˈkʌm/
387,Zmagać się,Struggle,/ˈstrʌɡ.əl/,/ˈstrʌɡ.əl/
388,Radzić sobie,Cope,/koʊp/,/kəʊp/
389,Przetrwać,Survive,/sɚˈvaɪv/,/səˈvaɪv/
390,Rozkwitać,Thrive,/θraɪv/,/θraɪv/
391,Wycieńczać,Exhaust,/ɪɡˈzɔːst/,/ɪɡˈzɔːst/
392,Odświeżać,Refresh,/rɪˈfreʃ/,/rɪˈfreʃ/
393,Odnawiać,Renew,/rɪˈnuː/,/rɪˈnjuː/
394,Przywracać,Restore,/rɪˈstɔːr/,/rɪˈstɔː/
395,Odtwarzać,Recreate,/ˌriː.kriˈeɪt/,/ˌriː.kriˈeɪt/
396,Naśladować,Imitate,/ˈɪm.ə.teɪt/,/ˈɪm.ɪ.teɪt/
397,Udawać,Pretend,/prɪˈtend/,/prɪˈtend/
398,Symulować,Simulate,/ˈsɪm.jə.leɪt/,/ˈsɪm.jə.leɪt/
399,Weryfikować,Verify,/ˈver.ə.faɪ/,/ˈver.ɪ.faɪ/
400,Fałszować,Falsify,/ˈfɔːl.sə.faɪ/,/ˈfɒl.sɪ.faɪ/