Indeks,Forma podstawowa (Infinitive),Czas przeszły (Past Simple),Imiesłów bierny (Past Participle),Tłumaczenie angielsko-polskie,Wymowa UK (IPA),Wymowa US (IPA)
265,rewind,rewound,rewound,przewijać (do tyłu),/ˌriːˈwaɪnd/,/ˌriːˈwaɪnd/
266,rewrite,rewrote,rewritten,przepisać,/ˌriːˈraɪt/,/ˌriːˈraɪt/
267,rid,rid,rid,uwalniać,/rɪd/,/rɪd/
268,ride,rode,ridden,jeździć (na),/raɪd/,/raɪd/
269,ring,rang,rung,dzwonić,/rɪŋ/,/rɪŋ/
270,rise,rose,risen,"wzrastać, wschodzić",/raɪz/,/raɪz/
271,rive,rived,riven/rived,"rozdzierać, rozłupywać",/raɪv/,/raɪv/
272,rough-hew,rough-hewed,rough-hewn,ciosać z grubsza,/ˌrʌfˈhjuː/,/ˌrʌfˈhjuː/
273,roughcast,roughcast,roughcast,tynkować z grubsza,/ˈrʌfkɑːst/,/ˈrʌfkæst/
274,run,ran,run,biegać,/rʌn/,/rʌn/
275,sand-cast,sand-cast,sand-cast,odlewać w piasku,/ˈsænd kɑːst/,/ˈsænd kæst/
276,saw,sawed,sawn/sawed,piłować,/sɔː/,/sɔː/
277,say,said,said,powiedzieć,/seɪ/,/seɪ/
278,see,saw,seen,widzieć,/siː/,/siː/
279,seek,sought,sought,szukać,/siːk/,/siːk/
280,self-feed,self-fed,self-fed,żywić się samodzielnie,/ˌselfˈfiːd/,/ˌselfˈfiːd/
281,self-sow,self-sowed,self-sown,samoistnie się rozsiewać (o roślinie),/ˌselfˈsəʊ/,/ˌselfˈsoʊ/
282,sell,sold,sold,sprzedawać,/sel/,/sel/
283,send,sent,sent,wysyłać,/send/,/send/
284,set,set,set,ustawiać,/set/,/set/
285,sew,sewed,sewn/sewed,szyć,/səʊ/,/soʊ/
286,shake,shook,shaken,trząść,/ʃeɪk/,/ʃeɪk/
287,shave,shaved,shaven/shaved,golić,/ʃeɪv/,/ʃeɪv/
288,shear,shore/sheared,shorn/sheared,strzyc (owce),/ʃɪə(r)/,/ʃɪr/
289,shed,shed,shed,"ronić, zrzucać",/ʃed/,/ʃed/
290,shend,shent/shended,shent/shended,"hańbić, niszczyć (archaiczne)",/ʃend/,/ʃend/
291,shine,shone,shone,"świecić, błyszczeć",/ʃaɪn/,/ʃaɪn/
292,shoe,shod,shod,podkuwać (konia),/ʃuː/,/ʃuː/
293,shoot,shot,shot,strzelać,/ʃuːt/,/ʃuːt/
294,show,showed,shown,pokazywać,/ʃəʊ/,/ʃoʊ/
295,shrink,shrank,shrunk,kurczyć się,/ʃrɪŋk/,/ʃrɪŋk/
296,shrink-fit,shrink-fit,shrink-fit,pasować na wcisk (po podgrzaniu),/ˈʃrɪŋk fɪt/,/ˈʃrɪŋk fɪt/
297,shrink-wrap,shrink-wrapped,shrink-wrapped/shrink-wrapt,opakowywać w folię termokurczliwą,/ˈʃrɪŋk ræp/,/ˈʃrɪŋk ræp/
298,shrive,shrove/shrived,shriven/shrived,"spowiadać, rozgrzeszać",/ʃraɪv/,/ʃraɪv/
299,shut,shut,shut,zamykać,/ʃʌt/,/ʃʌt/
300,sight-read,sight-read,sight-read,czytać (nuty) a vista,/ˈsaɪt riːd/,/ˈsaɪt riːd/
301,sightsee,oversaw,overseen,zwiedzać,/ˈsaɪtsiː/,/ˈsaɪtsiː/
302,sing,sang,sung,śpiewać,/sɪŋ/,/sɪŋ/
303,sink,sank,sunk,tonąć,/sɪŋk/,/sɪŋk/
304,sit,sat,sat,siedzieć,/sɪt/,/sɪt/
305,slam-dunk,slam-dunked,slam-dunked,robić wsad do kosza (w koszykówce),/ˈslæm dʌŋk/,/ˈslæm dʌŋk/
306,slay,slew,slain,zabijać (w walce),/sleɪ/,/sleɪ/
307,sleep,slept,slept,spać,/sliːp/,/sliːp/
308,sleepwalk,sleepwalked/sleepwalkt,sleepwalked/sleepwalkt,lunatykować,/ˈsliːpwɔːk/,/ˈsliːpwɔːk/
309,slide,slid,slid,ślizgać się,/slaɪd/,/slaɪd/
310,sling,slung,slung,"ciskać, miotać",/slɪŋ/,/slɪŋ/
311,slink,slunk,slunk,przemykać się,/slɪŋk/,/slɪŋk/
312,slit,slit,slit,rozcinać,/slɪt/,/slɪt/
313,smell,smelt/smelled,smelt/smelled,"pachnieć, wąchać",/smel/,/smel/
314,smite,smote,smitten,"uderzać, razić",/smaɪt/,/smaɪt/
315,sneak,snuck/sneaked,snuck/sneaked,skradać się,/sniːk/,/sniːk/
316,sow,sowed,sown/sowed,siać,/səʊ/,/soʊ/
317,speak,spoke,spoken,mówić,/spiːk/,/spiːk/
318,speed,sped/speeded,sped/speeded,pędzić,/spiːd/,/spiːd/
319,speed-read,speed-read,speed-read,czytać szybko,/ˈspiːd riːd/,/ˈspiːd riːd/
320,spell,spelt/spelled,spelt/spelled,literować,/spel/,/spel/
321,spellbind,spellbound,spellbound,"oczarować, urzec",/ˈspelbaɪnd/,/ˈspelbaɪnd/
322,spend,spent,spent,"spędzać, wydawać",/spend/,/spend/
323,spill,spilt/spilled,spilt/spilled,rozlewać,/spɪl/,/spɪl/
324,spin,spun,spun,kręcić (się),/spɪn/,/spɪn/
325,spin-dry,spin-dried,spin-dried,wirować (w pralce),/ˈspɪn draɪ/,/ˈspɪn draɪ/
326,spit,spat/spit,spat/spit,pluć,/spɪt/,/spɪt/
327,spit-roast,spit-roasted,spit-roasted,piec na rożnie,/ˈspɪt rəʊst/,/ˈspɪt roʊst/
328,spit-shine,spit-shone,spit-shone,polerować na wysoki połysk (np. buty),/ˈspɪt ʃaɪn/,/ˈspɪt ʃaɪn/
329,split,split,split,"dzielić, pękać",/splɪt/,/splɪt/
330,spoil,spoilt/spoiled,spoilt/spoiled,"psuć, rozpieszczać",/spɔɪl/,/spɔɪl/
331,spoon-feed,spoon-fed,spoon-fed,"karmić łyżeczką, podawać na tacy",/ˈspuːn fiːd/,/ˈspuːn fiːd/
332,spotlight,spotlit/spotlighted,spotlit/spotlighted,"oświetlać punktowo, eksponować",/ˈspɒtlaɪt/,/ˈspɑːtlaɪt/
333,spread,spread,spread,rozprzestrzeniać (się),/spred/,/spred/
334,spring,sprang,sprung,"skakać, sprężynować",/sprɪŋ/,/sprɪŋ/
335,spring-clean,spring-cleaned,spring-cleaned,robić wiosenne porządki,/ˈsprɪŋ kliːn/,/ˈsprɪŋ kliːn/
336,stand,stood,stood,stać,/stænd/,/stænd/
337,stave,stove/staved,stove/staved,"przebić, zrobić dziurę",/steɪv/,/steɪv/
338,stay,staid/stayed,staid/stayed,pozostawać,/steɪ/,/steɪ/
339,steal,stole,stolen,kraść,/stiːl/,/stiːl/
340,step-sit,step-sat,step-sat,opiekować się pasierbem/pasierbicą,/ˈstep sɪt/,/ˈstep sɪt/
341,stick,stuck,stuck,"przyklejać, wbijać",/stɪk/,/stɪk/
342,stick-handle,stick-handled,stick-handled,dryblować (w hokeju),/ˈstɪk hændl/,/ˈstɪk hændl/
343,sting,stung,stung,"żądlić, kłuć",/stɪŋ/,/stɪŋ/
344,stink,stank/stunk,stunk,śmierdzieć,/stɪŋk/,/stɪŋk/
345,strew,strewed,strewn/strewed,rozrzucać,/struː/,/struː/
346,stride,strode,stridden,kroczyć,/straɪd/,/straɪd/
347,strike,struck,struck/stricken,"uderzać, strajkować",/straɪk/,/straɪk/
348,strike-break,strike-broke,strike-broken,łamać strajk,/ˈstraɪk breɪk/,/ˈstraɪk breɪk/
349,string,strung,strung,nawlekać,/strɪŋ/,/strɪŋ/
350,strip,stript/stripped,stript/stripped,"zdzierać, rozbierać (się)",/strɪp/,/strɪp/
351,strive,strove,striven,"dążyć, usiłować",/straɪv/,/straɪv/
352,strong-arm,strong-armed,strong-armed,zmuszać siłą,/ˈstrɒŋ ɑːm/,/ˈstrɔːŋ ɑːrm/
353,sublet,sublet,sublet,podnajmować,/ˌsʌbˈlet/,/ˌsʌbˈlet/
354,sun-bleach,sun-bleached,sun-bleached,wybielać na słońcu,/ˈsʌn bliːtʃ/,/ˈsʌn bliːtʃ/
355,sunburn,sunburned/sunburnt,sunburned/sunburnt,opalić (się) na czerwono,/ˈsʌnbɜːn/,/ˈsʌnbɜːrn/
356,swear,swore,sworn,"przysięgać, przeklinać",/sweə(r)/,/swer/
357,sweat,sweat/sweated,sweat/sweated,pocić się,/swet/,/swet/
358,sweep,swept,swept,zamiatać,/swiːp/,/swiːp/
359,swell,swelled,swollen/swelled,puchnąć,/swel/,/swel/
360,swim,swam,swum,pływać,/swɪm/,/swɪm/
361,swing,swung,swung,"huśtać się, machać",/swɪŋ/,/swɪŋ/
362,take,took,taken,"brać, wziąć",/teɪk/,/teɪk/
363,teach,taught,taught,uczyć (kogoś),/tiːtʃ/,/tiːtʃ/
364,tear,tore,torn,"drzeć, rwać",/teə(r)/,/ter/
365,telecast,telecast,telecast,transmitować w telewizji,/ˈtelikɑːst/,/ˈtelikæst/
366,tell,told,told,powiedzieć (komuś),/tel/,/tel/
367,test-drive,test-drove,test-driven,odbywać jazdę próbną,/ˈtest draɪv/,/ˈtest draɪv/
368,test-fly,test-flew,test-flown,odbywać lot próbny,/ˈtest flaɪ/,/ˈtest flaɪ/
369,thieve,thove/thieved,thoven/thieved,kraść,/θiːv/,/θiːv/
370,think,thought,thought,myśleć,/θɪŋk/,/θɪŋk/
371,thrive,throve/thrived,thriven/thrived,"prosperować, dobrze się rozwijać",/θraɪv/,/θraɪv/
372,throw,threw,thrown,rzucać,/θrəʊ/,/θroʊ/
373,thrust,thrust,thrust,"pchać, wpychać",/θrʌst/,/θrʌst/
374,tread,trod,trodden/trod,"stąpać, deptać",/tred/,/tred/
375,troubleshoot,troubleshot,troubleshot,rozwiązywać problemy (techniczne),/ˈtrʌblʃuːt/,/ˈtrʌblʃuːt/
376,typecast,typecast,typecast,obsadzać stale w rolach jednego typu,/ˈtaɪpkɑːst/,/ˈtaɪpkæst/
377,typeset,typeset,typeset,składać (tekst do druku),/ˈtaɪpset/,/ˈtaɪpset/
378,typewrite,typewrote,typewritten,pisać na maszynie,/ˈtaɪpraɪt/,/ˈtaɪpraɪt/
379,unbend,unbent,unbent,"prostować (się), odprężać się",/ʌnˈbend/,/ʌnˈbend/
380,unbind,unbound,unbound,rozwiązywać,/ʌnˈbaɪnd/,/ʌnˈbaɪnd/
381,unbuild,unbuilt,unbuilt,rozbierać (budowlę),/ʌnˈbɪld/,/ʌnˈbɪld/
382,unbuy,unbought,unbought,"""odkupić"", anulować zakup",/ʌnˈbaɪ/,/ʌnˈbaɪ/
383,unclad,unclad/unclothed,unclad/unclothed,"nieodziany, goły",/ʌnˈklæd/,/ʌnˈklæd/
384,unclothe,unclad/unclothed,unclad/unclothed,rozbierać,/ʌnˈkləʊð/,/ʌnˈkloʊð/
385,underbid,underbid,underbid,licytować niżej (niż inni),/ˌʌndəˈbɪd/,/ˌʌndərˈbɪd/
386,undercut,undercut,undercut,"podcinać, sprzedawać taniej",/ˌʌndəˈkʌt/,/ˌʌndərˈkʌt/
387,underfeed,underfed,underfed,niedożywiać,/ˌʌndəˈfiːd/,/ˌʌndərˈfiːd/
388,undergo,underwent,undergone,"przechodzić, poddawać się",/ˌʌndəˈɡəʊ/,/ˌʌndərˈɡoʊ/
389,undig,undug,undug,odkopywać,/ʌnˈdɪɡ/,/ʌnˈdɪɡ/
390,underlie,underlay,underlain,leżeć u podstaw,/ˌʌndəˈlaɪ/,/ˌʌndərˈlaɪ/
391,underlet,underlet,underlet,"podnajmować (ponownie, przez najemcę)",/ˌʌndəˈlet/,/ˌʌndərˈlet/
392,undersell,undersold,undersold,sprzedawać taniej niż konkurencja,/ˌʌndəˈsel/,/ˌʌndərˈsel/
393,underspend,underspent,underspent,wydać mniej niż zakładano,/ˌʌndəˈspend/,/ˌʌndərˈspend/
394,understand,understood,understood,rozumieć,/ˌʌndəˈstænd/,/ˌʌndərˈstænd/
395,undertake,undertook,undertaken,podejmować się,/ˌʌndəˈteɪk/,/ˌʌndərˈteɪk/
396,underwrite,underwrote,underwritten,"gwarantować, asekaurować",/ˌʌndəˈraɪt/,/ˌʌndərˈraɪt/
397,undo,undid,undone,"cofać, rozwiązywać",/ʌnˈduː/,/ʌnˈduː/
398,unfreeze,unfroze,unfrozen,rozmrażać,/ʌnˈfriːz/,/ʌnˈfriːz/
399,unhang,unhung,unhung,zdejmować (coś wiszącego),/ʌnˈhæŋ/,/ʌnˈhæŋ/
400,unhide,unhid,unhidden,"odkrywać, pokazywać",/ʌnˈhaɪd/,/ʌnˈhaɪd/
401,unknit,unknit/unknitted,unknit/unknitted,pruć (dzianinę),/ʌnˈnɪt/,/ʌnˈnɪt/
402,unlade,unladed,unladen,rozładowywać,/ʌnˈleɪd/,/ʌnˈleɪd/
403,unlearn,unlearnt/unlearned,unlearnt/unlearned,oduczyć się,/ʌnˈlɜːn/,/ʌnˈlɜːrn/
404,unmake,unmade,unmade,"niszczyć, cofać",/ʌnˈmeɪk/,/ʌnˈmeɪk/
405,unreeve,unrove,unroven,rozszplatać linę,/ʌnˈriːv/,/ʌnˈriːv/
406,unsay,unsaid,unsaid,cofać (słowa),/ʌnˈseɪ/,/ʌnˈseɪ/
407,unsew,unsewed,unsewn/unsewed,rozpruwać,/ʌnˈsəʊ/,/ʌnˈsoʊ/
408,unshoe,unshod,unshod,rozkuwać (konia),/ʌnˈʃuː/,/ʌnˈʃuː/
409,unsling,unslung,unslung,zdejmować z ramienia,/ʌnˈslɪŋ/,/ʌnˈslɪŋ/
410,unspeak,unspoke,unspoken,cofnąć słowa (archaiczne),/ʌnˈspiːk/,/ʌnˈspiːk/
411,unspin,unspun,unspun,rozwijać (nić),/ʌnˈspɪn/,/ʌnˈspɪn/
412,unstick,unstuck,unstuck,odklejać,/ʌnˈstɪk/,/ʌnˈstɪk/
413,unstring,unstrung,unstrung,"zdejmować struny, rozstrajać nerwowo",/ʌnˈstrɪŋ/,/ʌnˈstrɪŋ/
414,unswear,unswore,unsworn,odprzysięgać,/ʌnˈsweə(r)/,/ʌnˈswer/
415,unteach,untaught,untaught,oduczyć (kogoś),/ʌnˈtiːtʃ/,/ʌnˈtiːtʃ/
416,unthaw,unthawed,unthawed/unthawn,rozmrażać,/ʌnˈθɔː/,/ʌnˈθɔː/
417,unthink,unthought,unthought,"odrzucić myśl, przestać myśleć",/ʌnˈθɪŋk/,/ʌnˈθɪŋk/
418,unthread,unthreaded,unthreaded,wyciągnąć nitkę,/ʌnˈθred/,/ʌnˈθred/
419,untread,untrod,untrodden,wracać (tą samą drogą),/ʌnˈtred/,/ʌnˈtred/
420,unweave,unwove,unwoven,"rozpruwać, rozplątywać",/ʌnˈwiːv/,/ʌnˈwiːv/
421,unwind,unwound,unwound,"rozwijać, odprężać się",/ʌnˈwaɪnd/,/ʌnˈwaɪnd/
422,upbear,upbore,upborne,"podnosić, podtrzymywać",/ʌpˈbeə(r)/,/ʌpˈber/
423,upbuild,upbuilt,upbuilt,podbudowywać,/ʌpˈbɪld/,/ʌpˈbɪld/
424,upcast,upcast,upcast,podrzucać,/ˈʌpkɑːst/,/ˈʌpkæst/
425,upend,upended,upended,przewracać do góry dnem,/ʌpˈend/,/ʌpˈend/
426,uphold,upheld,upheld,"podtrzymywać, stać na straży",/ʌpˈhəʊld/,/ʌpˈhoʊld/
427,uprise,uprose,uprisen,"powstawać, wznosić się",/ʌpˈraɪz/,/ʌpˈraɪz/
428,upspring,upsprang,upsprung,"wyskoczyć, powstać",/ʌpˈsprɪŋ/,/ʌpˈsprɪŋ/
429,upset,upset,upset,"martwić, denerwować",/ʌpˈset/,/ʌpˈset/
430,vex,vext/vexed,vext/vexed,"drażnić, denerwować",/veks/,/veks/
431,wake,woke,woken,budzić się,/weɪk/,/weɪk/
432,water-ski,water-skied,water-skied,jeździć na nartach wodnych,/ˈwɔːtə skiː/,/ˈwɑːtər skiː/
433,waylay,waylaid,waylaid,napadać z zasadzki,/ˈweɪleɪ/,/ˈweɪleɪ/
434,wear,wore,worn,nosić (ubranie),/weə(r)/,/wer/
435,weave,wove,woven,"tkać, pleść",/wiːv/,/wiːv/
436,weather-forecast,weather-forecast,weather-forecast,prognozować pogodę,/ˈweðə ˈfɔːkɑːst/,/ˈweðər ˈfɔːrkæst/
437,weather-strip,weather-stripped,weather-stripped,uszczelniać,/ˈweðə strɪp/,/ˈweðər strɪp/
438,wed,wed/wedded,wed/wedded,brać ślub,/wed/,/wed/
439,weep,wept,wept,"płakać, szlochać",/wiːp/,/wiːp/
440,wend,went/wended,wended,"iść, podążać (archaiczne)",/wend/,/wend/
441,wet,wet/wetted,wet/wetted,moczyć,/wet/,/wet/
442,whip,whipt/whipped,whipt/whipped,"biczować, ubijać",/wɪp/,/wɪp/
443,whitewash,whitewashed,whitewashed/whitewashen,"bielić, tuszować",/ˈwaɪtwɒʃ/,/ˈwaɪtwɑːʃ/
444,win,won,won,wygrywać,/wɪn/,/wɪn/
445,wind,wound,wound,"nakręcać, wić się",/waɪnd/,/waɪnd/
446,winterfeed,winterfed,winterfed,karmić zimą,/ˈwɪntəfiːd/,/ˈwɪntərfiːd/
447,wirepull,wirepulled,wirepulled,pociągać za sznurki,/ˈwaɪəpʊl/,/ˈwaɪərpʊl/
448,wiredraw,wiredrew,wiredrawn,"przeciągać drut, subtelnie rozróżniać",/ˈwaɪədrɔː/,/ˈwaɪərdrɔː/
449,withdraw,withdrew,withdrawn,wycofywać,/wɪðˈdrɔː/,/wɪðˈdrɔː/
450,withhold,withheld,withheld,wstrzymywać,/wɪðˈhəʊld/,/wɪðˈhoʊld/
451,withstand,withstood,withstood,wytrzymywać,/wɪðˈstænd/,/wɪðˈstænd/
452,work,wrought/worked,wrought/worked,"pracować, tworzyć (archaiczne)",/wɜːk/,/wɜːrk/
453,wreak,wrought/wreaked,wrought/wreaked,"wywierać, powodować (forma 'wrought' jest archaiczna)",/riːk/,/riːk/
454,wring,wrung,wrung,"wykręcać, wyżymać",/rɪŋ/,/rɪŋ/
455,write,wrote,written,pisać,/raɪt/,/raɪt/
456,zinc,zincked/zinced,zincked/zinced,cynkować,/zɪŋk/,/zɪŋk/
457,breastfeed,breastfed,breastfed,karmić piersią,/ˈbrestfiːd/,/ˈbrestfiːd/
458,broadcast,broadcast,broadcast,"nadawać, transmitować",/ˈbrɔːdkɑːst/,/ˈbrɔːdkæst/
459,browbeat,browbeat,browbeaten,zastraszać,/ˈbraʊbiːt/,/ˈbraʊbiːt/
460,build,built,built,budować,/bɪld/,/bɪld/
461,burn,burnt/burned,burnt/burned,"palić, parzyć",/bɜːn/,/bɜːrn/
462,burst,burst,burst,"pękać, wybuchać",/bɜːst/,/bɜːrst/
463,buy,bought,bought,kupować,/baɪ/,/baɪ/
464,cast,cast,cast,"rzucać, obsadzać",/kɑːst/,/kæst/
465,catch,caught,caught,łapać,/kætʃ/,/kætʃ/
466,chide,chid/chided,chid/chidden/chided,"karcić, strofować",/tʃaɪd/,/tʃaɪd/
467,choose,chose,chosen,wybierać,/tʃuːz/,/tʃuːz/
468,clap,clapt/clapped,clapt/clapped,klaskać,/klæp/,/klæp/
469,cleave,clove/cleft/cleaved,cloven/cleft/cleaved,rozłupywać,/kliːv/,/kliːv/
470,clepe,cleped/clept,y-clept,"nazywać, wołać (skrajnie archaiczne)",/kliːp/,/kliːp/
471,cling,clung,clung,"przylegać, uczepić się",/klɪŋ/,/klɪŋ/
472,clothe,clad/clothed,clad/clothed,"odziewać, ubierać",/kləʊð/,/kloʊð/
473,come,came,come,przychodzić,/kʌm/,/kʌm/
474,cost,cost,cost,kosztować,/kɒst/,/kɔːst/
475,creep,crept,crept,skradać się,/kriːp/,/kriːp/
476,crossbreed,crossbred,crossbred,krzyżować (rasy),/ˈkrɒsbriːd/,/ˈkrɔːsbriːd/
477,crosscut,crosscut,crosscut,ciąć w poprzek,/ˈkrɒskʌt/,/ˈkrɔːskʌt/
478,crow,crew/crowed,crowed/crown,piać (kogut) (forma 'crew' jest archaiczna),/krəʊ/,/kroʊ/
479,cut,cut,cut,"ciąć, kroić",/kʌt/,/kʌt/
480,dare,durst/dared,dared,ośmielać się (forma 'durst' jest archaiczna),/deə(r)/,/der/
481,daydream,daydreamed/daydreamt,daydreamed/daydreamt,marzyć na jawie,/ˈdeɪdriːm/,/ˈdeɪdriːm/
482,deal,dealt,dealt,"radzić sobie, zajmować się",/diːl/,/diːl/
483,deep-freeze,deep-froze,deep-frozen,mrozić,/ˌdiːpˈfriːz/,/ˌdiːpˈfriːz/
484,dig,dug,dug,kopać,/dɪɡ/,/dɪɡ/
485,disprove,disproved,disproven/disproved,"obalać (dowód, teorię)",/ˌdɪsˈpruːv/,/ˌdɪsˈpruːv/
486,dive,dove/dived,dived,nurkować,/daɪv/,/daɪv/
487,do,did,done,robić,/duː/,/duː/
488,downsize,downsized,downsized,redukować (zatrudnienie),/ˈdaʊnsaɪz/,/ˈdaʊnsaɪz/
489,draw,drew,drawn,rysować,/drɔː/,/drɔː/
490,dream,dreamt/dreamed,dreamt/dreamed,"śnić, marzyć",/driːm/,/driːm/
491,drink,drank,drunk,pić,/drɪŋk/,/drɪŋk/
492,drive,drove,driven,prowadzić (pojazd),/draɪv/,/draɪv/
493,dry-clean,dry-cleaned,dry-cleaned,czyścić chemicznie,/ˌdraɪˈkliːn/,/ˌdraɪˈkliːn/
494,dwell,dwelt/dwelled,dwelt/dwelled,"mieszkać, przebywać",/dwel/,/dwel/
495,eat,ate,eaten,jeść,/iːt/,/iːt/
496,enwind,enwound,enwound,oplatać,/ɪnˈwaɪnd/,/ɪnˈwaɪnd/
497,fall,fell,fallen,upadać,/fɔːl/,/fɔːl/
498,feed,fed,fed,karmić,/fiːd/,/fiːd/
499,feel,felt,felt,czuć,/fiːl/,/fiːl/
500,fight,fought,fought,walczyć,/faɪt/,/faɪt/
501,find,found,found,znajdować,/faɪnd/,/faɪnd/
502,fit,fit/fitted,fit/fitted,pasować,/fɪt/,/fɪt/
503,flee,fled,fled,uciekać,/fliː/,/fliː/
504,fling,flung,flung,ciskać,/flɪŋ/,/flɪŋ/
505,floodlight,floodlit/floodlighted,floodlit/floodlighted,oświetlać (reflektorami),/ˈflʌdlaɪt/,/ˈflʌdlaɪt/
506,fly,flew,flown,latać,/flaɪ/,/flaɪ/
507,forbear,forbore,forborne,"powstrzymywać się, zaniechać",/fɔːˈbeə(r)/,/fɔːrˈber/
508,forbid,forbade,forbidden,zabraniać,/fəˈbɪd/,/fərˈbɪd/
509,forecast,forecast,forecast,prognozować,/ˈfɔːkɑːst/,/ˈfɔːrkæst/
510,forego,forewent,foregone,poprzedzać (rzadkie),/fɔːˈɡəʊ/,/fɔːrˈɡoʊ/
511,forerun,foreran,forerun,"zapowiadać, poprzedzać",/fɔːˈrʌn/,/fɔːrˈrʌn/
512,foresee,foresaw,foreseen,przewidywać,/fɔːˈsiː/,/fɔːrˈsiː/
513,forespeak,forespoke,forespoken,"przepowiadać, zamawiać",/fɔːˈspiːk/,/fɔːrˈspiːk/
514,foretell,foretold,foretold,przepowiadać,/fɔːˈtel/,/fɔːrˈtel/
515,forget,forgot,forgotten,zapominać,/fəˈɡet/,/fərˈɡet/
516,forgive,forgave,forgiven,wybaczać,/fəˈɡɪv/,/fərˈɡɪv/
517,forgo,forwent,forgone,"rezygnować z, zrzekać się",/fɔːˈɡəʊ/,/fɔːrˈɡoʊ/
518,forsake,forsook,forsaken,porzucać,/fəˈseɪk/,/fərˈseɪk/
519,forswear,forswore,forsworn,wypierać się pod przysięgą,/fɔːˈsweə(r)/,/fɔːrˈswer/
520,fraught,fraught,fraught,"ładować (statek) (archaiczne, dziś przymiotnik)",/frɔːt/,/frɔːt/
521,freeze,froze,frozen,zamarzać,/friːz/,/friːz/
522,freight,freighted,freighted/fraught,"frachtować, ładować",/freɪt/,/freɪt/
523,frostbite,frostbit,frostbitten,odmrozić,/ˈfrɒstbaɪt/,/ˈfrɔːstbaɪt/
524,gainsay,gainsaid,gainsaid,zaprzeczać,/ˌɡeɪnˈseɪ/,/ˌɡeɪnˈseɪ/
525,geld,gelt/gelded,gelt/gelded,kastrować,/ɡeld/,/ɡeld/
526,get,got,got/gotten,dostawać,/ɡet/,/ɡet/
527,ghostwrite,ghostwrote,ghostwritten,pisać za kogoś (jako anonimowy autor),/ˈɡəʊstraɪt/,/ˈɡoʊstraɪt/
528,gild,gilt/gilded,gilt/gilded,złocić,/ɡɪld/,/ɡɪld/
529,gird,girt/girded,girt/girded,opasywać,/ɡɜːd/,/ɡɜːrd/
530,give,gave,given,dawać,/ɡɪv/,/ɡɪv/
531,go,went,gone,"iść, jechać",/ɡəʊ/,/ɡoʊ/
532,grave,graved,graven/graved,"rzeźbić, grawerować",/ɡreɪv/,/ɡreɪv/
533,grind,ground,ground,mielić,/ɡraɪnd/,/ɡraɪnd/
534,grow,grew,grown,rosnąć,/ɡrəʊ/,/ɡroʊ/
535,hand-feed,hand-fed,hand-fed,karmić z ręki,/ˈhænd fiːd/,/ˈhænd fiːd/
536,handwrite,handwrote,handwritten,pisać odręcznie,/ˈhændraɪt/,/ˈhændraɪt/